id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
721509,P3 Valencia Apartment 1 bedroom,3724467,EasySleep,Eixample,la Dreta de l'Eixample,41.39914651191707,2.1713486968241202,Entire home/apt,999,3,1,2018-04-18,0.17,13,334
721510,32 Valencia Apartment 2 bedrooms,3724467,EasySleep,Eixample,la Dreta de l'Eixample,41.39837819783267,2.1708039857225323,Entire home/apt,999,3,0,,,13,325
721511,1 Valencia Superior Apartment 2 bedrooms,3724467,EasySleep,Eixample,la Dreta de l'Eixample,41.39772342548376,2.1697564317633007,Entire home/apt,700,3,0,,,13,316
721512,2 Valencia Superior Apartment 2 bedrooms,3724467,EasySleep,Eixample,la Dreta de l'Eixample,41.39766751498909,2.1714262916790252,Entire home/apt,700,3,1,2017-05-27,0.06,13,316
722100,Cozy Queen S. bedroom w/priv bath,3093079,More,Eixample,Sant Antoni,41.37517082206428,2.1676783202065346,Private room,30,3,37,2018-09-23,0.67,2,43
722682,En Barcelona como en tu casa.,3732633,Ariadna,Sants-Montjuïc,el Poble Sec,41.37401826777917,2.157469956991104,Private room,19,4,160,2018-07-15,2.52,1,8
722742,Quiet apartment with terrace-Gracia,3548964,Xavier,Gràcia,la Vila de Gràcia,41.39851379421453,2.1553497979783085,Entire home/apt,110,3,155,2018-10-07,2.15,1,279
724086,APARTMENT SARA NEAR LA RAMBLA BCN,3743250,Sara,Ciutat Vella,el Raval,41.378195627842274,2.167479563031331,Entire home/apt,50,180,7,2016-06-20,0.22,1,365
724331,Perfect Penthouse for your holidays in Barcelona,3744544,Marta+Paul,Eixample,Sant Antoni,41.37815213025171,2.163482334008073,Entire home/apt,110,3,63,2018-09-16,0.95,33,61
724523,nice penthouse ramblas/Montjuic,3487870,Denis,Sants-Montjuïc,el Poble Sec,41.372890754078306,2.1601524344784635,Entire home/apt,85,2,68,2018-10-01,1.36,2,300
725009,Walk to Plaça de Catalunya from an Art-Filled Apartment,1935498,Nadia & Taras,Eixample,Sant Antoni,41.377884611800724,2.1623138389791414,Entire home/apt,120,3,87,2018-09-15,1.27,2,319
725659,Sunny flat in the heart of Gracia ,3514423,Sven,Gràcia,la Vila de Gràcia,41.40567468560476,2.16005083478923,Entire home/apt,75,3,112,2018-10-01,1.65,1,336
